occupation_group_2nd_table,soc_2digit_codes,occupation_code
"Management, business, and financial operations occupations","11,13",1113
"Computer, mathematical, architecture, and engineering occupations","15,17",1517
"Life, physical, and social science occupations","19",19
"Community and social service occupations","21",21
"Legal occupations","23",23
"Educational instruction and library occupations","25",25
"Arts, design, entertainment, sports, and media occupations","27",27
"Healthcare occupations","29,31",2931
"Protective service occupations","33",33
"Food preparation and serving related occupations","35",35
"Building and grounds cleaning and maintenance, personal care and service occupations","37,39",3739
"Sales and related, office and administrative support occupations","41,43",4143
"Farming, fishing, and forestry occupations","45",45
"Construction and extraction occupations","47",47
"Installation, maintenance, and repair occupations","49",49
"Production occupations","51",51
"Transportation and material moving occupations","53",53
"Military","55",55
